symbol,name,market_category,is_test_issue,financial_status,round_lot_size,is_etf,is_next_shares,exchange,source_file_name,source_file_created_at_utc,ingested_at_utc,raw_payload
AACB,Artius II Acquisition Inc. - Class A Ordinary Shares,G,False,N,100,False,False,NASDAQ,nasdaqlisted_02021001T050201Z.txt,0202-10-01T05:02:01+00:00,2025-10-12T00:01:06.696298+00:00,"{""Symbol"": ""AACB"", ""Security Name"": ""Artius II Acquisition Inc. - Class A Ordinary Shares"", ""Market Category"": ""G"", ""Test Issue"": ""N"", ""Financial Status"": ""N"", ""Round Lot Size"": ""100"", ""ETF"": ""N"", ""NextShares"": ""N""}"
AACBR,Artius II Acquisition Inc. - Rights,G,False,N,100,False,False,NASDAQ,nasdaqlisted_02021001T050201Z.txt,0202-10-01T05:02:01+00:00,2025-10-12T00:01:06.696298+00:00,"{""Symbol"": ""AACBR"", ""Security Name"": ""Artius II Acquisition Inc. - Rights"", ""Market Category"": ""G"", ""Test Issue"": ""N"", ""Financial Status"": ""N"", ""Round Lot Size"": ""100"", ""ETF"": ""N"", ""NextShares"": ""N""}"
AACBU,Artius II Acquisition Inc. - Units,G,False,N,100,False,False,NASDAQ,nasdaqlisted_02021001T050201Z.txt,0202-10-01T05:02:01+00:00,2025-10-12T00:01:06.696298+00:00,"{""Symbol"": ""AACBU"", ""Security Name"": ""Artius II Acquisition Inc. - Units"", ""Market Category"": ""G"", ""Test Issue"": ""N"", ""Financial Status"": ""N"", ""Round Lot Size"": ""100"", ""ETF"": ""N"", ""NextShares"": ""N""}"
AACG,"ATA Creativity Global - American Depositary Shares, each representing two common shares",S,False,N,100,False,False,NASDAQ,nasdaqlisted_02021001T050201Z.txt,0202-10-01T05:02:01+00:00,2025-10-12T00:01:06.696298+00:00,"{""Symbol"": ""AACG"", ""Security Name"": ""ATA Creativity Global - American Depositary Shares, each representing two common shares"", ""Market Category"": ""S"", ""Test Issue"": ""N"", ""Financial Status"": ""N"", ""Round Lot Size"": ""100"", ""ETF"": ""N"", ""NextShares"": ""N""}"
AACI,Armada Acquisition Corp. II - Class A Ordinary Shares,G,False,N,100,False,False,NASDAQ,nasdaqlisted_02021001T050201Z.txt,0202-10-01T05:02:01+00:00,2025-10-12T00:01:06.696298+00:00,"{""Symbol"": ""AACI"", ""Security Name"": ""Armada Acquisition Corp. II - Class A Ordinary Shares"", ""Market Category"": ""G"", ""Test Issue"": ""N"", ""Financial Status"": ""N"", ""Round Lot Size"": ""100"", ""ETF"": ""N"", ""NextShares"": ""N""}"
AACIU,Armada Acquisition Corp. II - Units,G,False,N,100,False,False,NASDAQ,nasdaqlisted_02021001T050201Z.txt,0202-10-01T05:02:01+00:00,2025-10-12T00:01:06.696298+00:00,"{""Symbol"": ""AACIU"", ""Security Name"": ""Armada Acquisition Corp. II - Units"", ""Market Category"": ""G"", ""Test Issue"": ""N"", ""Financial Status"": ""N"", ""Round Lot Size"": ""100"", ""ETF"": ""N"", ""NextShares"": ""N""}"
AACIW,Armada Acquisition Corp. II - Warrant,G,False,N,100,False,False,NASDAQ,nasdaqlisted_02021001T050201Z.txt,0202-10-01T05:02:01+00:00,2025-10-12T00:01:06.696298+00:00,"{""Symbol"": ""AACIW"", ""Security Name"": ""Armada Acquisition Corp. II - Warrant"", ""Market Category"": ""G"", ""Test Issue"": ""N"", ""Financial Status"": ""N"", ""Round Lot Size"": ""100"", ""ETF"": ""N"", ""NextShares"": ""N""}"
AADR,AdvisorShares Dorsey Wright ADR ETF,G,False,N,100,True,False,NASDAQ,nasdaqlisted_02021001T050201Z.txt,0202-10-01T05:02:01+00:00,2025-10-12T00:01:06.696298+00:00,"{""Symbol"": ""AADR"", ""Security Name"": ""AdvisorShares Dorsey Wright ADR ETF"", ""Market Category"": ""G"", ""Test Issue"": ""N"", ""Financial Status"": ""N"", ""Round Lot Size"": ""100"", ""ETF"": ""Y"", ""NextShares"": ""N""}"
AAL,"American Airlines Group, Inc. - Common Stock",Q,False,N,100,False,False,NASDAQ,nasdaqlisted_02021001T050201Z.txt,0202-10-01T05:02:01+00:00,2025-10-12T00:01:06.696298+00:00,"{""Symbol"": ""AAL"", ""Security Name"": ""American Airlines Group, Inc. - Common Stock"", ""Market Category"": ""Q"", ""Test Issue"": ""N"", ""Financial Status"": ""N"", ""Round Lot Size"": ""100"", ""ETF"": ""N"", ""NextShares"": ""N""}"
AALG,Leverage Shares 2X Long AAL Daily ETF,G,False,N,100,True,False,NASDAQ,nasdaqlisted_02021001T050201Z.txt,0202-10-01T05:02:01+00:00,2025-10-12T00:01:06.696298+00:00,"{""Symbol"": ""AALG"", ""Security Name"": ""Leverage Shares 2X Long AAL Daily ETF"", ""Market Category"": ""G"", ""Test Issue"": ""N"", ""Financial Status"": ""N"", ""Round Lot Size"": ""100"", ""ETF"": ""Y"", ""NextShares"": ""N""}"
AAME,Atlantic American Corporation - Common Stock,G,False,N,100,False,False,NASDAQ,nasdaqlisted_02021001T050201Z.txt,0202-10-01T05:02:01+00:00,2025-10-12T00:01:06.696298+00:00,"{""Symbol"": ""AAME"", ""Security Name"": ""Atlantic American Corporation - Common Stock"", ""Market Category"": ""G"", ""Test Issue"": ""N"", ""Financial Status"": ""N"", ""Round Lot Size"": ""100"", ""ETF"": ""N"", ""NextShares"": ""N""}"
AAOI,"Applied Optoelectronics, Inc. - Common Stock",G,False,N,100,False,False,NASDAQ,nasdaqlisted_02021001T050201Z.txt,0202-10-01T05:02:01+00:00,2025-10-12T00:01:06.696298+00:00,"{""Symbol"": ""AAOI"", ""Security Name"": ""Applied Optoelectronics, Inc. - Common Stock"", ""Market Category"": ""G"", ""Test Issue"": ""N"", ""Financial Status"": ""N"", ""Round Lot Size"": ""100"", ""ETF"": ""N"", ""NextShares"": ""N""}"
AAON,"AAON, Inc. - Common Stock",Q,False,N,100,False,False,NASDAQ,nasdaqlisted_02021001T050201Z.txt,0202-10-01T05:02:01+00:00,2025-10-12T00:01:06.696298+00:00,"{""Symbol"": ""AAON"", ""Security Name"": ""AAON, Inc. - Common Stock"", ""Market Category"": ""Q"", ""Test Issue"": ""N"", ""Financial Status"": ""N"", ""Round Lot Size"": ""100"", ""ETF"": ""N"", ""NextShares"": ""N""}"
AAPB,GraniteShares 2x Long AAPL Daily ETF,G,False,N,100,True,False,NASDAQ,nasdaqlisted_02021001T050201Z.txt,0202-10-01T05:02:01+00:00,2025-10-12T00:01:06.696298+00:00,"{""Symbol"": ""AAPB"", ""Security Name"": ""GraniteShares 2x Long AAPL Daily ETF"", ""Market Category"": ""G"", ""Test Issue"": ""N"", ""Financial Status"": ""N"", ""Round Lot Size"": ""100"", ""ETF"": ""Y"", ""NextShares"": ""N""}"
AAPD,Direxion Daily AAPL Bear 1X Shares,G,False,N,100,True,False,NASDAQ,nasdaqlisted_02021001T050201Z.txt,0202-10-01T05:02:01+00:00,2025-10-12T00:01:06.696298+00:00,"{""Symbol"": ""AAPD"", ""Security Name"": ""Direxion Daily AAPL Bear 1X Shares"", ""Market Category"": ""G"", ""Test Issue"": ""N"", ""Financial Status"": ""N"", ""Round Lot Size"": ""100"", ""ETF"": ""Y"", ""NextShares"": ""N""}"
AAPG,Ascentage Pharma Group International - American Depository Shares,G,False,N,100,False,False,NASDAQ,nasdaqlisted_02021001T050201Z.txt,0202-10-01T05:02:01+00:00,2025-10-12T00:01:06.696298+00:00,"{""Symbol"": ""AAPG"", ""Security Name"": ""Ascentage Pharma Group International - American Depository Shares"", ""Market Category"": ""G"", ""Test Issue"": ""N"", ""Financial Status"": ""N"", ""Round Lot Size"": ""100"", ""ETF"": ""N"", ""NextShares"": ""N""}"
